artifact_type,artifact_rate,strategy,rel_error_mean_nn_ms_median,rel_error_mean_nn_ms_mean,rel_error_mean_nn_ms_std,rel_error_sdnn_ms_median,rel_error_sdnn_ms_mean,rel_error_sdnn_ms_std,rel_error_rmssd_ms_median,rel_error_rmssd_ms_mean,rel_error_rmssd_ms_std,rel_error_pnn50_median,rel_error_pnn50_mean,rel_error_pnn50_std
ectopic_short_long,0.001,delete_flagged_intervals,-9.560637034401136e-07,-4.734762110591996e-08,5.257560711760917e-05,0.000148822201008858,4.770205485555112e-05,0.0005668580794480515,0.0006593927420597151,0.0005138722879833879,0.0019502820545390218,0.0014501658955816173,0.004253576270759857,0.029410671035057158
ectopic_short_long,0.001,interpolate_flagged_intervals,0.0,-6.57803900437733e-07,3.159615983302658e-05,-0.00011546490600020852,-0.0001525464305453507,0.00044234277556070114,-0.0009181781995716572,-0.0012087725625270637,0.0020861291296393244,-0.002008032128514056,-0.0025610129550583415,0.0036370229968324817
ectopic_short_long,0.001,no_correction,0.0,0.0,0.0,0.019056048391123515,0.02895635037176737,0.03168736417971255,0.21641724283659813,0.2794052368318058,0.2985705079016101,0.022288261515601822,0.24683244650314812,0.9399596190028459
ectopic_short_long,0.005,delete_flagged_intervals,1.6112744895020803e-06,-3.606014339047424e-07,0.0001231296564090447,0.00014833711306905907,-1.2375032123177893e-05,0.0014525636875575394,0.003015853713928679,0.0027820545044410505,0.0033641070269849406,0.005036913366862114,0.016589624587796222,0.06813586326728856
ectopic_short_long,0.005,interpolate_flagged_intervals,5.575526117637917e-07,-7.556873219473502e-07,6.810504743475408e-05,-0.0006807921137902053,-0.0007935542348650926,0.0009245871445912314,-0.005304170641670245,-0.005710374901420925,0.00276066929572363,-0.011434794445956978,-0.012934127163613059,0.01838801084901789
ectopic_short_long,0.005,no_correction,0.0,0.0,0.0,0.09384696013774158,0.13272784755723296,0.13052574603621497,0.862023305109547,0.970459009680848,0.8677523844088717,0.10894448841421309,1.2108873562643185,4.5193557002676465
ectopic_short_long,0.01,delete_flagged_intervals,4.3238926176703025e-07,-6.184257490324275e-06,0.00017222008697307357,0.00026605708017477274,0.00010238967471279097,0.0020868910213309743,0.005612651872522599,0.005586746801376741,0.005171703742314513,0.009951152946948476,0.027862341386639285,0.0820778661956706
ectopic_short_long,0.01,interpolate_flagged_intervals,2.2049171404390762e-06,3.07050691476256e-07,9.66403476353512e-05,-0.001363586566980924,-0.0015605217476626976,0.0014555040046455665,-0.010910587710825228,-0.011273509714639272,0.0036136368963371472,-0.023033217565348325,-0.02407835444019655,0.01673406824542532
ectopic_short_long,0.01,no_correction,0.0,2.6539412931165595e-19,7.506479540934858e-18,0.17575165171348303,0.24436475572014377,0.22128316048570892,1.4287478229813946,1.5582468988022087,1.2912355985487596,0.21485432173420727,2.3870163686213433,8.855614504451342
ectopic_short_long,0.03,delete_flagged_intervals,9.561481249234333e-06,2.9956806353514193e-06,0.0002994958591111142,-0.00010984591242393167,-0.00024058885238685608,0.0038676527171119463,0.014838496904218582,0.016232208589173566,0.015073289575093504,0.02866231420282982,0.09360213399175402,0.260439395538501
