record_id,model,epoch_count,majority_reference_stage,predicted_majority_stage,accuracy,balanced_accuracy,cohen_kappa,macro_f1,wake_precision,wake_recall,wake_f1,wake_support,n1_precision,n1_recall,n1_f1,n1_support,n2_precision,n2_recall,n2_f1,n2_support,n3_precision,n3_recall,n3_f1,n3_support,rem_precision,rem_recall,rem_f1,rem_support
SC4001,yasa_sleepstaging,2650,WAKE,WAKE,0.7773584905660378,0.5718187902543471,0.524350457730925,0.5351879498494903,0.930089485458613,0.8327491236855283,0.8787318361955085,1997,0.2,0.3103448275862069,0.24324324324324326,58,0.5536723163841808,0.784,0.6490066225165563,250,0.7777777777777778,0.7,0.7368421052631579,220,0.1318181818181818,0.232,0.1681159420289855,125
SC4011,yasa_sleepstaging,2802,WAKE,WAKE,0.7127052105638829,0.7480259023552882,0.5467059964526023,0.6194521847293762,0.97265625,0.6707974137931034,0.7940051020408163,1856,0.4915254237288136,0.5321100917431193,0.5110132158590308,109,0.7037593984962406,0.8327402135231317,0.7628361858190709,562,0.5255102040816326,0.9809523809523809,0.6843853820598007,105,0.2265193370165746,0.7235294117647059,0.3450210378681627,170
SC4021,yasa_sleepstaging,2804,WAKE,WAKE,0.8038516405135521,0.6869215778243329,0.639344009268265,0.5908057140338553,0.9643691588785047,0.8657577346617724,0.9124067421939762,1907,0.27472527472527475,0.26595744680851063,0.2702702702702703,94,0.8839907192575406,0.6990825688073394,0.7807377049180327,545,0.41284403669724773,0.9473684210526315,0.5750798722044729,95,0.3039772727272727,0.656441717791411,0.4155339805825243,163
SC4031,yasa_sleepstaging,2820,WAKE,WAKE,0.8588652482269503,0.7874181235595725,0.7183738975691569,0.6667522017521371,0.9826086956521739,0.900398406374502,0.9397089397089398,2008,0.47619047619047616,0.4918032786885246,0.4838709677419355,61,0.944,0.7298969072164948,0.8232558139534883,485,0.32,0.9824561403508771,0.4827586206896552,57,0.47411444141689374,0.8325358851674641,0.6041666666666666,209
SC4041,yasa_sleepstaging,2569,WAKE,WAKE,0.8151031529778123,0.7702128906735645,0.696084154758922,0.6896715316445998,0.9409672830725462,0.8624511082138201,0.9,1534,0.45454545454545453,0.45180722891566266,0.45317220543806647,166,0.9434697855750487,0.7806451612903226,0.8543689320388349,620,0.550561797752809,0.9245283018867925,0.6901408450704225,53,0.4116161616161616,0.8316326530612245,0.5506756756756757,196
all,yasa_sleepstaging,13645,WAKE,WAKE,0.7934774642726273,0.7114209505676073,0.6282348749872946,0.6311823975052877,0.9581360578121106,0.8267039346377123,0.8875807940904894,9302,0.3908918406072106,0.42213114754098363,0.4059113300492611,488,0.8053892215568862,0.764825345247766,0.7845833333333333,2462,0.5159817351598174,0.8528301886792453,0.6429587482219061,530,0.31735889243876464,0.6906141367323291,0.4348777818314484,863
