record_id,model,epoch_count,majority_reference_stage,predicted_majority_stage,accuracy,balanced_accuracy,cohen_kappa,macro_f1,wake_precision,wake_recall,wake_f1,wake_support,n1_precision,n1_recall,n1_f1,n1_support,n2_precision,n2_recall,n2_f1,n2_support,n3_precision,n3_recall,n3_f1,n3_support,rem_precision,rem_recall,rem_f1,rem_support
SC4001,yasa_sleepstaging,2650,WAKE,WAKE,0.7773584905660378,0.5718187902543471,0.524350457730925,0.5351879498494903,0.930089485458613,0.8327491236855283,0.8787318361955085,1997,0.2,0.3103448275862069,0.24324324324324326,58,0.5536723163841808,0.784,0.6490066225165563,250,0.7777777777777778,0.7,0.7368421052631579,220,0.1318181818181818,0.232,0.1681159420289855,125
SC4011,yasa_sleepstaging,2802,WAKE,WAKE,0.7127052105638829,0.7480259023552882,0.5467059964526023,0.6194521847293762,0.97265625,0.6707974137931034,0.7940051020408163,1856,0.4915254237288136,0.5321100917431193,0.5110132158590308,109,0.7037593984962406,0.8327402135231317,0.7628361858190709,562,0.5255102040816326,0.9809523809523809,0.6843853820598007,105,0.2265193370165746,0.7235294117647059,0.3450210378681627,170
SC4021,yasa_sleepstaging,2804,WAKE,WAKE,0.8038516405135521,0.6869215778243329,0.639344009268265,0.5908057140338553,0.9643691588785047,0.8657577346617724,0.9124067421939762,1907,0.27472527472527475,0.26595744680851063,0.2702702702702703,94,0.8839907192575406,0.6990825688073394,0.7807377049180327,545,0.41284403669724773,0.9473684210526315,0.5750798722044729,95,0.3039772727272727,0.656441717791411,0.4155339805825243,163
SC4031,yasa_sleepstaging,2820,WAKE,WAKE,0.8588652482269503,0.7874181235595725,0.7183738975691569,0.6667522017521371,0.9826086956521739,0.900398406374502,0.9397089397089398,2008,0.47619047619047616,0.4918032786885246,0.4838709677419355,61,0.944,0.7298969072164948,0.8232558139534883,485,0.32,0.9824561403508771,0.4827586206896552,57,0.47411444141689374,0.8325358851674641,0.6041666666666666,209
SC4041,yasa_sleepstaging,2569,WAKE,WAKE,0.8151031529778123,0.7702128906735645,0.696084154758922,0.6896715316445998,0.9409672830725462,0.8624511082138201,0.9,1534,0.45454545454545453,0.45180722891566266,0.45317220543806647,166,0.9434697855750487,0.7806451612903226,0.8543689320388349,620,0.550561797752809,0.9245283018867925,0.6901408450704225,53,0.4116161616161616,0.8316326530612245,0.5506756756756757,196
SC4051,yasa_sleepstaging,2722,WAKE,WAKE,0.7149155033063923,0.5611322788898451,0.37576279676632385,0.4804315131683321,0.9681528662420382,0.7404782993799823,0.8391468005018821,2258,0.391304347826087,0.4090909090909091,0.4,44,0.4793650793650794,0.695852534562212,0.5676691729323309,217,0.43010752688172044,0.5925925925925926,0.4984423676012461,135,0.05580357142857143,0.36764705882352944,0.09689922480620156,68
SC4061,yasa_sleepstaging,2770,WAKE,WAKE,0.9129963898916967,0.7163997491933694,0.7888682786899504,0.7032515177927544,0.9574162679425837,0.9671338811019816,0.9622505409954316,2069,0.4666666666666667,0.375,0.4158415841584158,56,0.9190600522193212,0.8648648648648649,0.8911392405063291,407,0.7375,0.4338235294117647,0.5462962962962963,136,0.5581395348837209,0.9411764705882353,0.7007299270072993,102
SC4071,yasa_sleepstaging,2810,WAKE,WAKE,0.8533807829181494,0.7551896633206286,0.7214591372191241,0.7081834755294787,0.9771949828962372,0.8753830439223698,0.9234913793103449,1958,0.34782608695652173,0.2696629213483146,0.3037974683544304,89,0.6298342541436464,0.8486352357320099,0.7230443974630021,403,0.7548076923076923,0.9691358024691358,0.8486486486486486,162,0.6822033898305084,0.8131313131313131,0.7419354838709677,198
SC4081,yasa_sleepstaging,2796,WAKE,WAKE,0.7846924177396281,0.6570308347308773,0.597466841436528,0.6059808457486636,0.9482961222091657,0.8130982367758186,0.8755085435313262,1985,0.4864864864864865,0.2647058823529412,0.34285714285714286,68,0.651685393258427,0.6641221374045801,0.6578449905482041,262,0.7962466487935657,0.8485714285714285,0.8215767634854771,350,0.2182254196642686,0.6946564885496184,0.33211678832116787,131
SC4091,yasa_sleepstaging,2721,WAKE,WAKE,0.8798235942668137,0.7621856869886281,0.7809380473366663,0.7009672153708403,0.9716646989374262,0.9465209890741806,0.9589280512671133,1739,0.2037037037037037,0.5789473684210527,0.3013698630136986,19,0.8058076225045372,0.7914438502673797,0.7985611510791367,561,0.7736842105263158,0.8647058823529412,0.8166666666666667,170,0.6293103448275862,0.6293103448275862,0.6293103448275862,232
SC4101,yasa_sleepstaging,2719,WAKE,WAKE,0.7127620448694373,0.7254614397794267,0.524848714027278,0.47657127887980144,0.9545798637395913,0.7124293785310735,0.8159171789065027,1770,0.2,0.27692307692307694,0.23225806451612904,65,0.6385372714486639,0.676602086438152,0.6570188133140377,671,0.057692307692307696,1.0,0.10909090909090909,6,0.40365111561866124,0.961352657004831,0.5685714285714286,207
SC4111,yasa_sleepstaging,2641,WAKE,WAKE,0.8371828852707308,0.6903589656481237,0.6856344902671344,0.6061266338507313,0.9873493975903614,0.8912452419793366,0.9368390968848243,1839,0.1,0.3076923076923077,0.1509433962264151,13,0.7064989517819706,0.6713147410358565,0.6884576098059244,502,0.6774193548387096,0.6511627906976745,0.6640316205533597,129,0.4323529411764706,0.930379746835443,0.5903614457831325,158
SC4121,yasa_sleepstaging,2685,WAKE,WAKE,0.8532588454376164,0.7168640024484119,0.7305145999598022,0.662705035033168,0.9956736711990112,0.8905472636815921,0.9401809162532827,1809,0.1643835616438356,0.25,0.19834710743801653,48,0.7084048027444254,0.8920086393088553,0.7896749521988528,463,0.6821192052980133,0.9626168224299065,0.7984496124031008,107,0.5846153846153846,0.5891472868217055,0.5868725868725869,258
SC4131,yasa_sleepstaging,2814,WAKE,WAKE,0.9136460554371002,0.8263321705232501,0.8246306303071648,0.7744153644974484,0.977284460505937,0.9752704791344667,0.9762764311500773,1941,0.4,0.5614035087719298,0.46715328467153283,57,0.9023746701846965,0.6881287726358148,0.7808219178082192,497,0.6844660194174758,0.9591836734693877,0.7988668555240793,147,0.7688679245283019,0.9476744186046512,0.8489583333333334,172
SC4141,yasa_sleepstaging,2756,WAKE,WAKE,0.9230769230769231,0.7963586730121033,0.8412775339491652,0.7575362772485462,0.985200845665962,0.9613202681794739,0.9731140694335683,1939,0.23728813559322035,0.4827586206896552,0.3181818181818182,29,0.8560975609756097,0.8688118811881188,0.8624078624078624,404,0.8242424242424242,0.9006622516556292,0.8607594936708861,151,0.7782608695652173,0.7682403433476395,0.7732181425485961,233
SC4151,yasa_sleepstaging,2616,WAKE,WAKE,0.89717125382263,0.8183102687975266,0.7995347477775745,0.7482375644176134,0.9982332155477032,0.923202614379085,0.9592529711375212,1836,0.3333333333333333,0.5365853658536586,0.411214953271028,41,0.9290540540540541,0.7768361581920904,0.8461538461538461,354,0.7213114754098361,0.9943502824858758,0.836104513064133,177,0.5737179487179487,0.8605769230769231,0.6884615384615385,208
SC4161,yasa_sleepstaging,2621,WAKE,WAKE,0.8805799313239222,0.7733236345511154,0.7872759666569256,0.7494694025151761,0.9740506329113924,0.9090372120496161,0.9404216315307058,1693,0.425531914893617,0.36363636363636365,0.39215686274509803,55,0.761252446183953,0.8683035714285714,0.8112617309697602,448,0.7738693467336684,0.9333333333333333,0.8461538461538461,165,0.7253521126760564,0.7923076923076923,0.7573529411764706,260
SC4171,yasa_sleepstaging,2741,WAKE,WAKE,0.5935789857716162,0.5295310510591353,0.3836954729337374,0.4338145744855721,0.9928251121076234,0.5780678851174935,0.7306930693069307,1915,0.01639344262295082,0.047619047619047616,0.024390243902439025,21,0.36971046770601335,0.5060975609756098,0.4272844272844273,328,0.5401069518716578,0.9395348837209302,0.6859083191850595,215,0.20350404312668463,0.5763358778625954,0.300796812749004,262
