constructor_seconds,cropped_duration_seconds,import_seconds,mne_version,original_duration_seconds,predict_proba_seconds,predict_seconds,predicted_epochs,predictions_out,probabilities_out,probability_rows,python,read_edf_seconds,record_id,sampling_rate_hz,status,total_seconds,yasa_version,crop_seconds,timeout_seconds,wall_seconds,returncode,stdout,stderr
0.18005,81600.0,5.497884,1.12.1,81600.0,3e-06,4.742423,2720,,,2720,3.12.13,1.023898,SC4101,100.0,completed,11.444616,0.7.0,,180.0,13.08872,0,"{""constructor_seconds"": 0.18005, ""cropped_duration_seconds"": 81600.0, ""import_seconds"": 5.497884, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 81600.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.742423, ""predicted_epochs"": 2720, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2720, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.023898, ""record_id"": ""SC4101"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.444616, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.178116,79260.0,5.541737,1.12.1,79260.0,4e-06,4.664181,2642,,,2642,3.12.13,1.20522,SC4111,100.0,completed,11.589615,0.7.0,,180.0,13.266198,0,"{""constructor_seconds"": 0.178116, ""cropped_duration_seconds"": 79260.0, ""import_seconds"": 5.541737, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 79260.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 4.664181, ""predicted_epochs"": 2642, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2642, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.20522, ""record_id"": ""SC4111"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.589615, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.200824,83580.0,5.552217,1.12.1,83580.0,3e-06,4.785262,2786,,,2786,3.12.13,1.185359,SC4121,100.0,completed,11.724048,0.7.0,,180.0,13.354236,0,"{""constructor_seconds"": 0.200824, ""cropped_duration_seconds"": 83580.0, ""import_seconds"": 5.552217, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 83580.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.785262, ""predicted_epochs"": 2786, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2786, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.185359, ""record_id"": ""SC4121"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.724048, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.208009,84420.0,5.480529,1.12.1,84420.0,4e-06,4.905317,2814,,,2814,3.12.13,1.124443,SC4131,100.0,completed,11.718696,0.7.0,,180.0,13.394522,0,"{""constructor_seconds"": 0.208009, ""cropped_duration_seconds"": 84420.0, ""import_seconds"": 5.480529, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 84420.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 4.905317, ""predicted_epochs"": 2814, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2814, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.124443, ""record_id"": ""SC4131"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.718696, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.187867,82680.0,5.536454,1.12.1,82680.0,4e-06,4.847142,2756,,,2756,3.12.13,1.126506,SC4141,100.0,completed,11.698361,0.7.0,,180.0,13.415572,0,"{""constructor_seconds"": 0.187867, ""cropped_duration_seconds"": 82680.0, ""import_seconds"": 5.536454, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 82680.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 4.847142, ""predicted_epochs"": 2756, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2756, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.126506, ""record_id"": ""SC4141"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.698361, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.171409,78600.0,5.54852,1.12.1,78600.0,3e-06,4.583576,2620,,,2620,3.12.13,1.098222,SC4151,100.0,completed,11.402097,0.7.0,,180.0,13.049003,0,"{""constructor_seconds"": 0.171409, ""cropped_duration_seconds"": 78600.0, ""import_seconds"": 5.54852, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 78600.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.583576, ""predicted_epochs"": 2620, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2620, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.098222, ""record_id"": ""SC4151"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.402097, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.184449,78780.0,5.534135,1.12.1,78780.0,3e-06,4.623163,2626,,,2626,3.12.13,1.144687,SC4161,100.0,completed,11.487141,0.7.0,,180.0,13.184122,0,"{""constructor_seconds"": 0.184449, ""cropped_duration_seconds"": 78780.0, ""import_seconds"": 5.534135, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 78780.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.623163, ""predicted_epochs"": 2626, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2626, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.144687, ""record_id"": ""SC4161"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.487141, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.192547,82260.0,5.535748,1.12.1,82260.0,3e-06,4.82777,2742,,,2742,3.12.13,1.253387,SC4171,100.0,completed,11.809845,0.7.0,,180.0,13.464437,0,"{""constructor_seconds"": 0.192547, ""cropped_duration_seconds"": 82260.0, ""import_seconds"": 5.535748, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 82260.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.82777, ""predicted_epochs"": 2742, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2742, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.253387, ""record_id"": ""SC4171"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.809845, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.198361,82680.0,5.562811,1.12.1,82680.0,4e-06,4.920823,2756,,,2756,3.12.13,1.128122,SC4181,100.0,completed,11.810519,0.7.0,,180.0,13.529706,0,"{""constructor_seconds"": 0.198361, ""cropped_duration_seconds"": 82680.0, ""import_seconds"": 5.562811, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 82680.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 4.920823, ""predicted_epochs"": 2756, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2756, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.128122, ""record_id"": ""SC4181"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.810519, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.192671,83220.0,5.580882,1.12.1,83220.0,3e-06,4.866585,2774,,,2774,3.12.13,1.167936,SC4191,100.0,completed,11.808462,0.7.0,,180.0,13.447913,0,"{""constructor_seconds"": 0.192671, ""cropped_duration_seconds"": 83220.0, ""import_seconds"": 5.580882, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 83220.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.866585, ""predicted_epochs"": 2774, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2774, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.167936, ""record_id"": ""SC4191"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.808462, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
